№,Идентификатор,Тип ,Название,Район
529,3556,пруд,б/н,Московский
530,3558,пруд,б/н,Фрунзенский
531,3559,пруд,б/н,Фрунзенский
532,3562,пруд,б/н,Фрунзенский
533,3563,пруд,б/н,Фрунзенский
534,3564,пруд,б/н,Фрунзенский
535,3565,пруд,б/н,Фрунзенский
536,3566,пруд,б/н,Фрунзенский
537,3567,пруд,б/н,Кировский
538,3568,пруд,б/н,Фрунзенский
539,3569,пруд,б/н,Кировский
540,3571,пруд,б/н,Кировский
541,3575,пруд,б/н,Московский
542,3576,пруд,б/н,Кировский
543,3577,пруд,б/н,Кировский
544,3580,пруд,б/н,Московский
545,3609,пруд,б/н,Невский
546,3618,пруд,б/н,Колпинский
547,3619,пруд,б/н,Колпинский
548,3627,пруд,б/н,Колпинский
549,3634,пруд,б/н,Колпинский
550,3635,пруд,б/н,Колпинский
551,3640,пруд,б/н,Колпинский
552,3641,пруд,б/н,Колпинский
553,3656,пруд,б/н,Московский
554,3657,водохранилище,вдхр. на Кузьминке (Верхнее),Пушкинский
555,3658,водохранилище,вдхр. на Кузьминке (Среднее),Пушкинский
556,3659,водохранилище,"вдхр. на Кузьминке (Нижнее, верх. часть)",Пушкинский
557,3660,водохранилище,"вдхр. на Кузьминке (Нижнее, ниж. часть)","Пушкинский, Колпинский"
558,3673,пруд,б/н,Пушкинский
559,3674,пруд,б/н,Пушкинский
560,3675,пруд,б/н,Пушкинский
561,3676,пруд,б/н,Пушкинский
562,3677,пруд,пруды Фермерского парка,Пушкинский
563,3679,пруд,пруды Фермерского парка,Пушкинский
564,3685,пруд,Колонистский,Пушкинский
565,3695,пруд,б/н,Пушкинский
566,3696,пруд,б/н,Пушкинский
567,3698,пруд,б/н,Пушкинский
568,3711,пруд,Розопавильонные пруды,Пушкинский
569,3712,пруд,Розопавильонные пруды,Пушкинский
570,3713,пруд,Вокзальные пруды,Пушкинский
571,3714,пруд,Вокзальные пруды,Пушкинский
572,3715,пруд,Вокзальные пруды,Пушкинский
573,3716,пруд,Розопавильонные пруды,Пушкинский
574,3717,озеро,Оз. Круглое,Пушкинский
575,3719,пруд,Розопавильонные пруды,Пушкинский
576,3720,пруд,Купальный,Пушкинский
577,3721,пруд,Розопавильонные пруды,Пушкинский
